Provinces/city,Population density,Average population,Sex ratio,Population grow ratio,15+ labor,Region,Year,Labor_rate (%)
Nghe An,182.6,3011.3,98.0,0.94,1920.4,North Central and Central Coast,2013,63.773121243316844
Ha Tinh,208.3,1249.1,97.0,0.48,700.9,North Central and Central Coast,2013,56.11240092866865
Quang Binh,107.1,863.4,100.2,0.59,516.5,North Central and Central Coast,2013,59.8216353949502
Quang Tri,129.3,613.0,97.3,0.8,346.2,North Central and Central Coast,2013,56.476345840130506
Thua Thien Hue,223.1,1122.7,97.6,0.79,636.6,North Central and Central Coast,2013,56.70259196579674
Da Nang,767.7,986.8,97.3,2.12,527.6,North Central and Central Coast,2013,53.46574787190921
Quang Nam,140.2,1463.2,95.7,0.71,858.2,North Central and Central Coast,2013,58.65226899945325
Quang Ngai,240.0,1236.3,97.4,0.52,726.2,North Central and Central Coast,2013,58.73978807732752
Binh Dinh,249.4,1509.3,95.1,0.46,920.1,North Central and Central Coast,2013,60.96203538064003
Phu Yen,174.3,882.0,100.2,0.67,545.4,North Central and Central Coast,2013,61.836734693877546
Khanh Hoa,227.8,1188.4,97.9,0.7,677.0,North Central and Central Coast,2013,56.96735106024907
Ninh Thuan,174.2,584.9,101.9,0.94,325.1,North Central and Central Coast,2013,55.5821507950077
Binh Thuan,153.5,1199.5,100.9,0.66,697.0,North Central and Central Coast,2013,58.10754481033764
Kon Tum,48.8,473.3,113.8,2.28,278.9,Highlands,2013,58.926684977815334
Gia Lai,87.5,1359.1,105.5,1.39,821.5,Highlands,2013,60.44441174306526
Dak Lak,138.1,1812.8,101.3,1.19,1077.6,Highlands,2013,59.443954104148276
Dak Nong,85.2,555.1,109.3,3.42,349.2,Highlands,2013,62.90758421905962
Lam Dong,127.4,1245.4,99.6,1.09,722.2,Highlands,2013,57.98940099566404
Binh Phuoc,134.0,920.7,101.9,1.3,562.2,South East,2013,61.06223525578365
Tay Ninh,272.0,1096.9,96.9,0.66,647.9,South East,2013,59.06646002370316
Binh Duong,669.0,1802.5,93.3,4.13,1197.7,South East,2013,66.44660194174757
Dong Nai,469.4,2772.7,95.6,2.4,1580.0,South East,2013,56.984167057380894
Ba Ria - Vung Tau,526.0,1046.5,99.4,1.31,577.6,South East,2013,55.19350215002389
Ho Chi Minh,3731.6,7820.0,93.2,2.08,4122.3,South East,2013,52.714833759590796
Long An,327.2,1469.9,98.7,0.65,898.1,Mekong Delta,2013,61.09939451663379
Tien Giang,679.0,1703.4,96.3,0.65,1072.3,Mekong Delta,2013,62.95056944933661
Ben Tre,534.3,1260.6,96.0,0.13,775.8,Mekong Delta,2013,61.5421227986673
Tra Vinh,437.3,1023.9,96.6,0.54,607.9,Mekong Delta,2013,59.371032327375715
Vinh Long,682.7,1037.8,96.8,0.32,625.2,Mekong Delta,2013,60.24282135286183
Dong Thap,496.7,1678.4,98.8,0.2,986.0,Mekong Delta,2013,58.746425166825546
